logradouro,complemento,bairro,cidade,estado,cep,longitude,latitude
Rua Amaro Mesquita,,Lagoa Nova,Natal,RN,59056-270,-35.2025505,-5.8144882
Rua Amazonas,,Neópolis,Natal,RN,59080-120,-35.210188099999996,-5.8549242
Travessa Amazônia,,Nossa Senhora da Apresentação,Natal,RN,59114-033,-35.2766379,-5.7553185
Avenida Amintas Barros,481.0,Bom Pastor,Natal,RN,59062-250,-35.23627889999999,-5.810261499999998
Avenida Amintas Barros,4427.0,Nova Descoberta,Natal,RN,59075-250,-35.202441,-5.8228816
Avenida Amintas Barros,2272.0,Lagoa Nova,Natal,RN,59062-350,-35.2210085,-5.8163076999999985
Avenida Amintas Barros,2271.0,Lagoa Nova,Natal,RN,59054-465,-35.220915999999995,-5.815953400000001
Avenida Amintas Barros,2893.0,Lagoa Nova,Natal,RN,59054-830,-35.215585600000004,-5.8179013999999984
Avenida Amintas Barros,2894.0,Lagoa Nova,Natal,RN,59063-350,-35.2155294,-5.818267899999999
Avenida Amintas Barros,3513.0,Lagoa Nova,Natal,RN,59056-215,-35.2114654,-5.8192938
Avenida Amintas Barros,3514.0,Lagoa Nova,Natal,RN,59075-810,-35.2108097,-5.8201855999999985
Avenida Amintas Barros,4129.0,Lagoa Nova,Natal,RN,59056-265,-35.2044958,-5.822251800000001
Avenida Amintas Barros,4130.0,Lagoa Nova,Natal,RN,59075-015,-35.205371899999996,-5.8219935
Avenida Amintas Barros,1215.0,Dix-Sept Rosado,Natal,RN,59054-145,-35.22971870000001,-5.812881399999998
Avenida Amintas Barros,1216.0,Nossa Senhora de Nazaré,Natal,RN,59062-195,-35.230341499999994,-5.8128446
Travessa Amintas Barros,,Bom Pastor,Natal,RN,59062-255,-35.2346276,-5.811604
Travessa Amintas Barros,,Bom Pastor,Natal,RN,59060-250,-35.2346276,-5.811604
Travessa Amintas Barros,,Lagoa Nova,Natal,RN,59054-475,-35.2346276,-5.811604
Travessa Amintas Barros,,Nossa Senhora de Nazaré,Natal,RN,59062-198,-35.2346276,-5.811604
Vila Amintas Barros,,Nova Descoberta,Natal,RN,59075-255,-35.198815,-5.824919400000001
Rua Amparo da Serra,,Neópolis,Natal,RN,59084-050,-35.1990464,-5.8682615
Rua Ampére,,Potengi,Natal,RN,59124-680,-35.2416323,-5.7509567000000015
Vila Amália Dantas,,Tirol,Natal,RN,59022-160,-35.20497039999999,-5.8015418
Rua Amália Nascimento,,Ponta Negra,Natal,RN,59090-657,-35.1727528,-5.8840392
Avenida Amélia Cristina,,Lagoa Azul,Natal,RN,59139-410,-35.2690429,-5.7274685
Rua Amélia Machado,,Candelária,Natal,RN,59066-480,-35.236467100000006,-5.809457099999999
Rua Américo Soares Wanderley,,Capim Macio,Natal,RN,59082-060,-35.2022969,-5.8580856
Travessa Américo Vespúcio,,Alecrim,Natal,RN,59037-050,-35.2241388,-5.796498400000001
Rua Ana Angelina de Macedo,,Candelária,Natal,RN,59065-120,-35.2175055,-5.837991099999999
Travessa Ana Beatriz,,Nossa Senhora da Apresentação,Natal,RN,59114-061,-35.265583299999996,-5.7590483
Travessa Ana Cecília,,Nossa Senhora da Apresentação,Natal,RN,59115-539,-35.265583299999996,-5.7590483
Rua Ana Maria Cortez,,Nossa Senhora da Apresentação,Natal,RN,59114-007,-35.273456200000005,-5.748229900000001
Travessa Ana Maria,,Alecrim,Natal,RN,59037-040,-35.222481,-5.799894099999999
Rua Ana Medeiros,,Barro Vermelho,Natal,RN,59030-340,-35.2097276,-5.7943682
Rua Ana Nogueira de Macedo,,Nossa Senhora da Apresentação,Natal,RN,59114-005,-35.2739918,-5.7461734999999985
Rua Ana Néri,339.0,Petrópolis,Natal,RN,59012-230,-35.20004829999999,-5.7820274000000005
Rua Ana Néri,341.0,Petrópolis,Natal,RN,59020-040,-35.19997010000001,-5.7821206
Vila Ana Néri,,Alecrim,Natal,RN,59037-220,-35.217594399999996,-5.797869400000001
Rua Ana Paula Barbosa,,Guarapes,Natal,RN,59074-846,-35.200453,-5.7829321
Rua Ana Porto,,Ponta Negra,Natal,RN,59090-010,-35.1738831,-5.884416799999999
Rua Ana Santana,,Ponta Negra,Natal,RN,59090-655,-35.1738831,-5.884416799999999
Travessa Ana Tereza,,Nossa Senhora da Apresentação,Natal,RN,59114-531,-35.277625799999996,-5.7664718
Rua Anacleto Duarte,,Felipe Camarão,Natal,RN,59072-772,-35.2498995,-5.8321318
Rua Analândia,,Pitimbu,Natal,RN,59069-180,-35.243605200000005,-5.8450042999999985
Rua Ananias Xavier de Souza,,Nossa Senhora da Apresentação,Natal,RN,59114-030,-35.2654097,-5.7562472
Rua Anatália de Melo Alves,,Planalto,Natal,RN,59073-224,-35.2550294,-5.8458280999999985
Rua Andaluzia,,Pajuçara,Natal,RN,59132-640,-35.245080200000004,-5.7337051
Rua Anderson de Abreu,,Candelária,Natal,RN,59066-100,-35.217980100000005,-5.8506383999999985
Vila Andrade,,Quintas,Natal,RN,59035-026,-35.2234916,-5.8062032
Rua Andrelândia,,Neópolis,Natal,RN,59084-150,-35.1996636,-5.8686488
