logradouro,complemento,bairro,cidade,estado,cep,longitude,latitude
Rua Aluízio Bezerra,,Lagoa Nova,Natal,RN,59056-170,-35.2078719,-5.8158836
Rua Alverca,,Nordeste,Natal,RN,59042-370,-35.2446415,-5.7951638
Travessa Alverca,,Nordeste,Natal,RN,59042-372,-35.2441335,-5.7951869
Vila Alves,,Alecrim,Natal,RN,59037-012,-35.2154236,-5.8031932
1ª Travessa Alvorada,,Igapó,Natal,RN,59104-213,-35.2556202,-5.7733735
2ª Travessa Alvorada,,Igapó,Natal,RN,59104-215,-35.2568649,-5.7740143
Rua Alvorada,,Igapó,Natal,RN,59104-210,-35.2608527,-5.7717685
Rua Alvorada,,Pajuçara,Natal,RN,59123-343,-35.23676399480929,-5.75100255
Vila Alvorada,,Igapó,Natal,RN,59104-216,-35.2646693,-5.7705171
Rua Alvorada de Minas,,Neópolis,Natal,RN,59084-040,-35.199028,-5.8673561
Rua Alvorada do Norte,,Nossa Senhora da Apresentação,Natal,RN,59115-230,-35.2825297,-5.7626271
Rua Alvorecer,,Nossa Senhora da Apresentação,Natal,RN,59114-179,-35.2814281,-5.7368235
Rua Alzira Soriano,,Lagoa Seca,Natal,RN,59022-320,-35.2111623,-5.8087996
Rua Alípio Bandeira,,Quintas,Natal,RN,59035-040,-35.2371322,-5.7995334
Rua Amambaí,,Neópolis,Natal,RN,59080-430,-35.211167,-5.8577702
Rua Amanari,,Pitimbu,Natal,RN,59069-190,-35.2428525,-5.8448148
Rua Amapá,,Neópolis,Natal,RN,59080-130,-35.2101172,-5.854714
Rua Amariles,,Nossa Senhora da Apresentação,Natal,RN,59115-430,-35.2632984,-5.7484546
Rua Amaro Barreto,,Alecrim,Natal,RN,59031-450,-35.2158415,-5.7938523
Rua Amaro Barreto,,Alecrim,Natal,RN,59040-450,-35.2158415,-5.7938523
Rua Amaro Ienaga,,Pajuçara,Natal,RN,59125-355,-35.2413652,-5.7387048
Rua Amaro Lúcio,,Lagoa Nova,Natal,RN,59054-730,-35.213019,-5.8137042
Rua Amaro Mesquita,,Lagoa Nova,Natal,RN,59056-270,-35.2025347,-5.8144886
Rua Amazonas,,Neópolis,Natal,RN,59080-120,-35.2101172,-5.854714
Avenida Amintas Barros,481,Bom Pastor,Natal,RN,59062-250,-35.2350669,-5.8108935
Avenida Amintas Barros,4427,Nova Descoberta,Natal,RN,59075-250,-35.2035222,-5.8226411
Avenida Amintas Barros,2272,Lagoa Nova,Natal,RN,59062-350,-35.2104004,-5.8201037
Avenida Amintas Barros,2271,Lagoa Nova,Natal,RN,59054-465,-35.2104004,-5.8201037
Avenida Amintas Barros,2893,Lagoa Nova,Natal,RN,59054-830,-35.2104004,-5.8201037
Avenida Amintas Barros,2894,Lagoa Nova,Natal,RN,59063-350,-35.2104004,-5.8201037
Avenida Amintas Barros,3513,Lagoa Nova,Natal,RN,59056-215,-35.2104004,-5.8201037
Avenida Amintas Barros,3514,Lagoa Nova,Natal,RN,59075-810,-35.2104004,-5.8201037
Avenida Amintas Barros,4129,Lagoa Nova,Natal,RN,59056-265,-35.2104004,-5.8201037
Avenida Amintas Barros,4130,Lagoa Nova,Natal,RN,59075-015,-35.2104004,-5.8201037
Avenida Amintas Barros,1215,Dix-Sept Rosado,Natal,RN,59054-145,-35.2299688,-5.81277
Avenida Amintas Barros,1216,Nossa Senhora de Nazaré,Natal,RN,59062-195,-35.2269497,-5.8139354
