logradouro,complemento,bairro,cidade,estado,cep,longitude,latitude
Rua do Coqueiro,,Potengi,Natal,RN,59120-510,-35.2382995,-5.7582772
Rua do Cordel,,Lagoa Azul,Natal,RN,59138-730,-35.263282200000006,-5.7340504999999995
Travessa do Corrupio,,Ponta Negra,Natal,RN,59090-475,-35.1743116,-5.884813200000001
1ª Travessa do Cruzeiro,,Redinha,Natal,RN,59122-051,-35.2070073,-5.7469708
2ª Travessa do Cruzeiro,,Redinha,Natal,RN,59122-052,-35.2071708,-5.7459232
Rua do Cruzeiro,,Redinha,Natal,RN,59122-050,-35.2064368,-5.7482714999999995
Rua do Diamante,,Lagoa Nova,Natal,RN,59076-260,-35.2049621,-5.8296803
Rua do Dourado,,Pajuçara,Natal,RN,59133-070,-35.2366492,-5.733998400000001
Rua do Espinheiro,,Candelária,Natal,RN,59066-440,-35.2205844,-5.8601338
Rua do Espontão,,Lagoa Azul,Natal,RN,59138-580,-35.2572298,-5.7312042000000005
Rua do Estanho,,Lagoa Nova,Natal,RN,59076-570,-35.20684179999999,-5.8320999
Praça do Estudante,,Cidade Alta,Natal,RN,59025-085,-35.20703252542931,-5.7839329500000005
Rua do Falcão,,Pitimbu,Natal,RN,59067-370,-35.231486600000004,-5.871446400000001
Rua do Fandango,,Lagoa Azul,Natal,RN,59139-090,-35.262609000000005,-5.730366200000001
Rua do Feldspato,,Lagoa Nova,Natal,RN,59076-290,-35.2044292,-5.8286356
Rua do Ferreiro,,Pitimbu,Natal,RN,59068-030,-35.2356226,-5.8635972
Rua do Fio,,Felipe Camarão,Natal,RN,59074-430,-35.258447499999996,-5.8276918
Rua do Forró,,Lagoa Azul,Natal,RN,59138-650,-35.2583979,-5.7295802
Rua do Frevo,,Lagoa Azul,Natal,RN,59138-630,-35.2580184,-5.7298124
Rua do Gajeiro,,Lagoa Azul,Natal,RN,59139-240,-35.2636537,-5.7338236
Rua do Garimpo,,Pajuçara,Natal,RN,59132-540,-35.2425635,-5.7295375
Rua do Garrafão,,Lagoa Azul,Natal,RN,59138-210,-35.263645700000005,-5.7360574
Rua do Golfinho,,Ponta Negra,Natal,RN,59090-515,-35.175694,-5.8847309
Rua do Granito,,Lagoa Nova,Natal,RN,59076-610,-35.2082476,-5.832234
Rua do Ingá,,Pitimbu,Natal,RN,59068-460,-35.2328861,-5.8628862
Rua do Jaspe,,Lagoa Nova,Natal,RN,59076-090,-35.208386100000006,-5.8296477
