cep,logradouro,complemento,bairro,cidade,estado,longitude,latitude
59092-557,Rua Anibal Leite Ribeiro,,Ponta Negra,Natal,RN,,
59071-410,Rua Anita Garibaldi,,Cidade da Esperança,Natal,RN,,
59065-320,Rua Anita Garibaldi,,Candelária,Natal,RN,,
59115-569,Travessa Anita Mafalda,,Nossa Senhora da Apresentação,Natal,RN,,
59139-755,Rua Anita Marques,,Lagoa Azul,Natal,RN,,
59112-290,Rua Anitápolis,,Potengi,Natal,RN,,
59066-430,Avenida Antoine de Saint' Exupéry,,Pitimbu,Natal,RN,,
59066-842,Avenida Antoine de Saint' Exupéry,,Candelária,Natal,RN,,
59064-590,Rua Antomar de Brito Freitas,,Candelária,Natal,RN,,
59124-120,Rua Antonina,,Potengi,Natal,RN,,
59090-576,Travessa Antonio Lourenço,,Ponta Negra,Natal,RN,,
59064-746,Alameda Antártica,,Candelária,Natal,RN,,
59056-190,Rua Antídio de Azevedo,,Lagoa Nova,Natal,RN,,
59114-259,Rua Antônia Dantas,,Nossa Senhora da Apresentação,Natal,RN,,
59114-266,Rua Antônia Santana,,Nossa Senhora da Apresentação,Natal,RN,,
59114-859,1ª Travessa Antônia de Morais,,Nossa Senhora da Apresentação,Natal,RN,,
59114-854,2ª Travessa Antônia de Morais,,Nossa Senhora da Apresentação,Natal,RN,,
59114-851,3ª Travessa Antônia de Morais,,Nossa Senhora da Apresentação,Natal,RN,,
59114-121,Rua Antônia de Morais,,Nossa Senhora da Apresentação,Natal,RN,,
59060-541,Travessa Antônio Alvarez Barateiro,,Nossa Senhora de Nazaré,Natal,RN,,
59139-370,Rua Antônio Alves,,Lagoa Azul,Natal,RN,,
59114-053,Travessa Antônio Amaro Souza,,Nossa Senhora da Apresentação,Natal,RN,,
59114-141,Travessa Antônio Amaro da Silva,,Nossa Senhora da Apresentação,Natal,RN,,
59114-134,Travessa Antônio Amaro de Souza,,Nossa Senhora da Apresentação,Natal,RN,,
59139-545,Rua Antônio Baracho da Costa,,Lagoa Azul,Natal,RN,,
59054-470,Rua Antônio Barateiro Sobrinho,,Lagoa Nova,Natal,RN,,
59114-169,Travessa Antônio Barbosa,,Nossa Senhora da Apresentação,Natal,RN,,
59078-260,Rua Antônio Barros Cavalcanti,,Capim Macio,Natal,RN,,
59050-202,1ª Travessa Antônio Basílio,,Quintas,Natal,RN,,
59050-203,2ª Travessa Antônio Basílio,,Quintas,Natal,RN,,
59050-204,3ª Travessa Antônio Basílio,,Quintas,Natal,RN,,
59050-205,4ª Travessa Antônio Basílio,,Quintas,Natal,RN,,
59056-285,Avenida Antônio Basílio,3748,Lagoa Nova,Natal,RN,,
59056-005,Avenida Antônio Basílio,3126,Lagoa Nova,Natal,RN,,
59054-735,Avenida Antônio Basílio,2554,Lagoa Nova,Natal,RN,,
59052-465,Avenida Antônio Basílio,1028,Dix-Sept Rosado,Natal,RN,,
59050-005,Avenida Antônio Basílio,280,Quintas,Natal,RN,,
59052-475,Avenida Antônio Basílio,1033,Dix-Sept Rosado,Natal,RN,,
59054-605,Avenida Antônio Basílio,1915,Lagoa Nova,Natal,RN,,
59054-725,Avenida Antônio Basílio,2567,Lagoa Nova,Natal,RN,,
59056-015,Avenida Antônio Basílio,3177,Lagoa Nova,Natal,RN,,
59056-275,Avenida Antônio Basílio,3767,Lagoa Nova,Natal,RN,,
59056-425,Avenida Antônio Basílio,4071,Nova Descoberta,Natal,RN,,
59050-000,Avenida Antônio Basílio,479,Quintas,Natal,RN,,
59052-000,Avenida Antônio Basílio,388,Bom Pastor,Natal,RN,,
59054-380,Avenida Antônio Basílio,1914,Lagoa Nova,Natal,RN,,
59056-901,Avenida Antônio Basílio 3006,,Lagoa Nova,Natal,RN,,
59056-500,Avenida Antônio Basílio,4084,Nova Descoberta,Natal,RN,,
59052-477,Travessa Antônio Basílio,,Dix-Sept Rosado,Natal,RN,,
59056-385,Travessa Antônio Basílio,,Lagoa Nova,Natal,RN,,
59139-520,Rua Antônio Batista de Araújo,,Lagoa Azul,Natal,RN,,
59075-610,Rua Antônio Carlos,,Lagoa Nova,Natal,RN,,
59074-330,Rua Antônio Carolino,,Felipe Camarão,Natal,RN,,
59074-578,Rua Antônio Carolino,,Guarapes,Natal,RN,,
59090-303,Rua Antônio Cesáreo da Costa,,Ponta Negra,Natal,RN,,
59022-220,Rua Antônio China,,Lagoa Seca,Natal,RN,,
59114-059,Travessa Antônio Costa,,Nossa Senhora da Apresentação,Natal,RN,,
59064-170,Rua Antônio Elias de França Neto,,Lagoa Nova,Natal,RN,,
59082-110,Rua Antônio Farache,,Capim Macio,Natal,RN,,
59139-535,Rua Antônio Fausto de Oliveira,,Lagoa Azul,Natal,RN,,
59125-115,Rua Antônio Franco de Lima,,Potengi,Natal,RN,,
59073-180,Rua Antônio Freire de Lemos,,Planalto,Natal,RN,,
59014-216,2ª Travessa Antônio Félix,,Mãe Luiza,Natal,RN,,
59014-210,Rua Antônio Félix,,Mãe Luiza,Natal,RN,,
59014-215,Travessa Antônio Félix,,Mãe Luiza,Natal,RN,,
59104-080,Rua Antônio Galdino,,Igapó,Natal,RN,,
59032-080,Rua Antônio Glicério,,Lagoa Seca,Natal,RN,,
59032-085,Vila Antônio Glicério,,Alecrim,Natal,RN,,
59104-272,Rua Antônio Gomes,,Igapó,Natal,RN,,
59037-090,Rua Antônio Gonçalves,,Alecrim,Natal,RN,,
59114-112,Rua Antônio Jorge,,Nossa Senhora da Apresentação,Natal,RN,,
59122-376,Rua Antônio José Sampaio,,Pajuçara,Natal,RN,,
59086-320,Rua Antônio Justino de Medeiros,,Neópolis,Natal,RN,,
59114-251,Rua Antônio Lisboa,,Nossa Senhora da Apresentação,Natal,RN,,
59090-577,Rua Antônio Lourenço,,Ponta Negra,Natal,RN,,
59082-120,Rua Antônio Madruga,,Capim Macio,Natal,RN,,
59032-180,Rua Antônio Maia,,Lagoa Seca,Natal,RN,,
59062-050,Rua Antônio Martins,,Nossa Senhora de Nazaré,Natal,RN,,
59030-470,Rua Antônio Melo,,Barro Vermelho,Natal,RN,,
59090-330,Rua Antônio Mor,,Ponta Negra,Natal,RN,,
59104-308,Travessa Antônio Paulo,,Igapó,Natal,RN,,
59025-570,Rua Antônio Pegado,,Cidade Alta,Natal,RN,,
59062-660,Praça Antônio Pereira,,Lagoa Nova,Natal,RN,,
59139-528,Rua Antônio Pereira,,Lagoa Azul,Natal,RN,,
59052-150,Rua Antônio Pinheiro,,Dix-Sept Rosado,Natal,RN,,
59052-151,Travessa Antônio Pinheiro,,Dix-Sept Rosado,Natal,RN,,
59122-406,Rua Antônio Pires,,Redinha,Natal,RN,,
59071-440,Rua Antônio Prado,,Cidade da Esperança,Natal,RN,,
59078-290,Rua Antônio Queiroz de Melo,,Capim Macio,Natal,RN,,
59086-580,Rua Antônio Ribeiro de Andrade,,Neópolis,Natal,RN,,
59086-025,Rua Antônio Rodrigues Filho,,Neópolis,Natal,RN,,
59014-640,Rua Antônio Santa Cruz,,Areia Preta,Natal,RN,,
59074-556,Rua Antônio Torquato,,Felipe Camarão,Natal,RN,,
59074-857,Rua Antônio Torquato,,Guarapes,Natal,RN,,
59074-859,Travessa Antônio Torquato,,Guarapes,Natal,RN,,
59129-482,Rua Antônio Valério dos Santos,,Lagoa Azul,Natal,RN,,
59114-050,Rua Antônio Viana,,Nossa Senhora da Apresentação,Natal,RN,,
59054-240,Rua Antônio Viana,,Dix-Sept Rosado,Natal,RN,,
59054-245,Travessa Antônio Viana,,Dix-Sept Rosado,Natal,RN,,
