cep,udh
59104-000,1240810200056
59149-303,1240325100014
59075-390,1240810200020
59152-330,1240325100021
59910-000,
59815-000,
59138-615,1240810200004
59139-410,1240810200004
59120-440,1240810200053
59607-012,
59607-490,
59068-090,1240810200019
59122-638,1240810200058
59611-300,
59073-156,1240810200042
59054-530,1240810200020
59155-125,1240325100015
59296-841,1241200500021
59618-260,
59625-120,
59108-030,1240810200053
59115-555,1240810200005
59072-310,1240810200049
59149-165,1240325100024
59054-831,1240810200020
59600-200,
59014-225,1240810200003
59607-007,
59020-390,1240810200032
59688-000,
59037-150,1240810200031
59037-400,1240810200031
59296-500,1241200500006
59609-170,
59010-670,1240810200030
59152-902,1240325100021
59297-705,1241200500001
59626-030,
59865-000,
59064-400,1240810200020
59080-260,1240810200019
59069-300,1240810200017
59612-136,
59020-240,1240810200001
59870-000,
59152-840,1240325100021
59082-130,1240810200013
59078-460,1240810200013
59060-241,1240810200046
59056-106,1240810200020
50140-295,
59030-210,1240810200032
59151-905,1240325100008
59094-190,1240810200013
59060-530,1240810200041
59060-220,1240810200046
59010-000,1240810200036
59141-000,1240325100009
59139-435,1240810200004
59148-270,1240325100020
59090-300,1240810200011
59133-090,1240810200059
59065-720,1240810200021
59071-340,1240810200041
59626-700,
59064-000,1240810200013
59618-646,
59158-904,1240325100028
59540-000,
59072-740,1240810200049
59090-470,1240810200012
59090-314,1240810200011
59340-000,
59072-842,1240810200041
59050-175,1240810200046
59110-430,1240810200053
59297-156,1241200500001
59108-210,1240810200053
59086-110,1240810200016
59144-530,1240325100020
59070-310,1240810200041
59022-140,1240810200032
11450-530,
59621-495,
59618-670,
59660-000,
59293-621,1241200500016
59082-410,1240810200013
59073-285,1240810200042
59012-240,1240810200033
59080-000,1240810200022
59080-560,1240810200019
59293-870,1241200500016
59115-190,1240810200055
59072-477,1240810200049
59120-080,1240810200053
59618-110,
59064-660,1240810200021
59060-170,1240810200046
59030-650,1240810200032
59037-250,1240810200045
59123-740,1240810200008
59067-560,1240810200019
59035-240,1240810200046
59135-500,1240810200059
59015-000,1240810200031
59123-200,1240810200008
59140-290,1240325100007
59108-410,1240810200053
59129-020,1240810200053
59146-210,1240325100019
59040-170,1240810200031
59296-838,1241200500001
59146-230,1240325100031
59112-150,1240810200053
59612-020,
59020-580,1240810200013
59014-570,1240810200001
59628-563,
59088-350,1240810200016
59135-750,1240810200059
59155-120,1240325100015
59082-320,1240810200013
59612-040,
59615-100,
59588-000,
59082-050,1240810200013
59604-180,
59600-058,
59607-058,
59141-040,1240325100031
59141-085,1240325100031
59150-100,1240325100021
59062-530,1240810200020
59132-600,1240810200059
59064-670,1240810200021
59314-710,
59064-220,1240810200022
59075-800,1240810200009
59131-650,1240810200059
59050-200,1240810200046
59600-425,
59618-160,
