logradouro,complemento,bairro,cidade,estado,cep,longitude,latitude
Rua Torre Azul,,Nossa Senhora da Apresentação,Natal,RN,59115-400,-35.2704977,-5.749261499999999
Rua Torre da Esperança,,Redinha,Natal,RN,59122-041,-35.234382,-5.753375399999999
Rua Torre de Marfim,,Redinha,Natal,RN,59122-043,-35.2333835,-5.7536549
Rua Torre do Mar,,Redinha,Natal,RN,59122-042,-35.2333945,-5.753235999999999
Rua Torres Galvão,,Alecrim,Natal,RN,59032-160,-35.2164795,-5.8045564
Travessa Torres Galvão,,Alecrim,Natal,RN,59032-158,-35.216412,-5.8053686
Travessa Torres Novas,,Felipe Camarão,Natal,RN,59072-471,-35.278873,-5.751068099999999
Travessa Torres,,Alecrim,Natal,RN,59037-803,-35.2164795,-5.8045564
Travessa Torres Vedras,,Felipe Camarão,Natal,RN,59074-316,-35.278873,-5.751068099999999
Vila Torres,,Alecrim,Natal,RN,59037-046,-35.2173603,-5.8045822
Rua Touros,,Lagoa Nova,Natal,RN,59063-030,-35.2241301,-5.8205151
Rua Trairi,807,Mãe Luiza,Natal,RN,59014-205,-35.1933695,-5.7877754
